scenario_name,scenario_path,corridor_case,agent_case,description,grid_width,grid_height,tunnel_target_ratio,tunnel_width_ratio,tunnel_width_percent,configured_corridor_length,configured_tunnel_length,tunnel_start_col,tunnel_end_col,tunnel_row,left_station,right_station,total_agents,agent_density,total_tasks,map_vertices,map_edges,pods,corridor_node_count,corridor_component_count,largest_corridor_component,longest_corridor_component,junction_count,dead_end_count,degree_distribution,abstract_vertices,abstract_edges,egroup_count,egroup_3_count,compression_ratio,runtime_seconds,generated_dir,result_files,abstract_makespan,repair_makespan,observed_makespan,sum_of_costs,repair_cost,concrete_cost_proxy,total_waits,move_count,stay_count,at_count,path_count,visited_count,repair_segments,longest_repair_steps,longest_repair_detail,abstract_plan_details,abstract_transitions,repair_path_details,repair_path_details_readable,move_details,stay_details,per_agent_costs,solver_status,solver_returncode,solver_log_path,solver_message,visited_details
short_low,debug/scenarios/short_low,short,low,Short tunnel with low traffic; baseline case.,100,15,0.2,0.2,20.0,20,20,40,59,7,739,760,2,0.1,2,460,1542,40,20,1,20,19,412,0,degree_2=8;degree_3=162;degree_4=250,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/short_low/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
long_low,debug/scenarios/long_low,long,low,Long tunnel is 70 percent of grid width with low traffic.,100,15,0.7,0.7,70.0,70,70,15,84,7,714,785,2,0.028571,2,360,942,140,70,1,70,69,212,0,degree_2=8;degree_3=62;degree_4=150,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/long_low/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
short_high,debug/scenarios/short_high,short,high,Short tunnel with high traffic; isolates agent conflict density.,100,15,0.2,0.2,20.0,20,20,40,59,7,739,760,12,0.6,12,460,1542,40,20,1,20,19,412,0,degree_2=8;degree_3=162;degree_4=250,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/short_high/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
long_high,debug/scenarios/long_high,long,high,Long tunnel is 70 percent of grid width with high traffic.,100,15,0.7,0.7,70.0,70,70,15,84,7,714,785,12,0.171429,12,360,942,140,70,1,70,69,212,0,degree_2=8;degree_3=62;degree_4=150,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/long_high/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r50_w130_h17_a02_s01,debug/scenarios/sweep_r50_w130_h17_a02_s01,short,low,"Random-width tunnel sweep: tunnel is 50% of grid width 130, with 2 agents.",130,17,0.5,0.5,50.0,65,65,32,96,8,1071,1137,2,0.030769,2,520,1542,130,65,1,65,64,382,0,degree_2=8;degree_3=132;degree_4=250,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r50_w130_h17_a02_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r50_w140_h25_a10_s01,debug/scenarios/sweep_r50_w140_h25_a10_s01,short,medium,"Random-width tunnel sweep: tunnel is 50% of grid width 140, with 10 agents.",140,25,0.5,0.5,50.0,70,70,35,104,12,1714,1785,10,0.142857,10,560,1662,140,70,1,70,69,412,0,degree_2=8;degree_3=142;degree_4=270,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r50_w140_h25_a10_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r50_w80_h15_a20_s01,debug/scenarios/sweep_r50_w80_h15_a20_s01,short,high,"Random-width tunnel sweep: tunnel is 50% of grid width 80, with 20 agents.",80,15,0.5,0.5,50.0,40,40,20,59,7,579,620,20,0.5,20,320,942,80,40,1,40,39,232,0,degree_2=8;degree_3=82;degree_4=150,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r50_w80_h15_a20_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r50_w160_h15_a25_s01,debug/scenarios/sweep_r50_w160_h15_a25_s01,short,high,"Random-width tunnel sweep: tunnel is 50% of grid width 160, with 25 agents.",160,15,0.5,0.5,50.0,80,80,40,119,7,1159,1240,25,0.3125,25,640,1902,160,80,1,80,79,472,0,degree_2=8;degree_3=162;degree_4=310,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r50_w160_h15_a25_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r50_w130_h23_a30_s01,debug/scenarios/sweep_r50_w130_h23_a30_s01,short,high,"Random-width tunnel sweep: tunnel is 50% of grid width 130, with 30 agents.",130,23,0.5,0.5,50.0,65,65,32,96,11,1461,1527,30,0.461538,30,520,1542,130,65,1,65,64,382,0,degree_2=8;degree_3=132;degree_4=250,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r50_w130_h23_a30_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r50_w80_h23_a35_s01,debug/scenarios/sweep_r50_w80_h23_a35_s01,short,very_high,"Random-width tunnel sweep: tunnel is 50% of grid width 80, with 35 agents.",80,23,0.5,0.5,50.0,40,40,20,59,11,899,940,35,0.875,35,320,942,80,40,1,40,39,232,0,degree_2=8;degree_3=82;degree_4=150,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r50_w80_h23_a35_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
